participant,fixation_duration_ms,fixation_count,scanpath_length
R_1b9er7B5oUU2GB3,352.6083086,337,29326.27796
R_24NSu2fhZSVYdgx,353.9233129,326,33516.95208
R_2a8lCnXgf5mY0Uw,290.8538012,342,51604.73009
R_2dcrbL6JgBCbV58,333.9438944,303,20304.42522
R_2dFOvI7zqIsdGXr,374.2893891,311,19623.76321
R_2eY0Sr2GkIJv6B3,362.73125,320,22168.13008
R_2l46s3O2ycWtR8P,344.4924012,329,30995.38208
R_2ruqN7Gw5wwAcKt,298.991573,356,60561.73557
R_2vji8lS5AfMnwLr,298.5978836,378,40011.22468
R_3yX8C7jDLuZOKS5,315.7589041,365,38372.98971
R_40Aui9SgjHu89Bh,362.8096677,331,25958.35757
R_41BwrIZaN0kisLr,334.4772036,329,46905.9835
R_41uEAMr6slIWbf5,321.1787709,358,35080.88824
R_49ojbe481GcNvdn,362.5428571,315,21216.36721
R_49oJeq668XySuxS,295.8338028,355,47249.63621
R_4aDED6tut5LAQSZ,300.5573333,375,36768.05709
R_4BzChOhHCrjaL1s,232.1607143,448,71460.52557
R_4D8pnTZcEuUojVl,279.6825,400,80434.65126
R_4E6L0ZuTwlsz0au,225.7787419,461,82077.89406
R_4fxKHePJLTb3K3b,328.3361823,351,34012.61023
R_4GHLGbjadqvvKHy,357.4700599,334,27787.8063
R_4HB6iecylB5JMS5,303.2686981,361,65626.1668
R_4kcDZ7PCDcWXf40,288.286445,391,63882.8056
R_4li9cD7fBSAM9RP,342.5409357,342,37029.37781
R_4NlWCy4oIukPjaw,301.6153846,351,44548.45565
R_4NwClI9g4tZ3dJX,316.0416667,312,19557.51745
R_4nx6fUwBwTjASgF,319.4495677,347,36969.28543
R_4Qmvgp1ddD3Qpqs,320.3555556,360,53813.52889
R_4rYE6BWOo41b5s7,316.6066482,361,54649.34383
R_4s2NXCnJQiUFP9v,317.3057851,363,44521.21046
R_4s63GuhpzAdK4jj,353.6814159,339,29624.3912
R_4VSM3zp8j6mxKPD,325.5826331,357,54907.25643
R_53z8wVnoQ9I7V17,222.3847826,460,141654.1481
R_6qRPhXWdcXRBrAB,380.1035599,309,22434.8984
R_82R35ItJxL12AnJ,365.9876543,324,33471.182
R_911KYZQxcxhJwRP,380.3563218,87,2724.77867
R_91Z3jkYGK0I2dqV,353.2053571,336,35217.5843
R_93rGtFF6DR5PJVb,348.3543544,333,32755.90736
R_95QHNdZ2cS7FP3c,260.0222222,360,41209.85438
R_97PUwAZE9KbMe7d,362.2012579,318,19608.69507
R_99itjGCdtRkk6YN,370.2615385,325,21920.03025
R_99uHQVoDICQ66j4,207.3243243,444,83095.22773
R_9B05kereaFfR6wh,337.7081967,305,16703.10232
R_9BzFnSWLmL4Ou7x,337.512894,349,46343.51823
R_9dDWY865eapQxZF,361.8138138,333,30093.52348
R_9disKu97sWb6yKy,290.2724936,389,57397.25834
R_9h0DU1QvkLJmnQJ,306.4429708,377,48785.77625
R_9ImC7Ewg4h8Nja1,263.6730769,416,70249.0312
R_9oqLGyhgfR2gYVj,269.929471,397,40091.50863
R_9OSAti36T2tOLoO,321.8441926,353,38443.39677
R_9PNQyT6FJgCU4ml,355.6328358,335,28385.4398
R_9s6BccNDmt3Pyxj,170.4048673,452,99810.85076
R_9S6oNUcHNK5WSUG,366.0518293,328,17090.95742
R_9uD6qGqxcVynfWM,323.1042254,355,35045.90863
R_9VtLROveNCdRTFv,325.1008403,357,38621.70547
R_9wEsfItQBeYZtML,313.2016129,372,51234.83728
R_9WNk132xffK2PHM,364.2317073,328,21361.29122
R_9X0AtJe5QW5khxy,266.0700483,414,58578.27051